OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
18365,4,Local drainage basin divide,Local,Local,0.08894749,469.643336997585
18366,5,Stream reach basin divide,Stream Reach,Reach,0.22441299,1184.90103802167
18367,4,Local drainage basin divide,Local,Local,0.50721102,2678.07477152667
18368,2,Regional drainage basin divide,Regional,Regional,1.07735002,5688.41355729645
18369,4,Local drainage basin divide,Local,Local,0.109011,575.578282082614
18370,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.372368,1966.10120566439
18371,0,Not a drainage basin divide,No Show,No Show,0.01738099,91.7719404010587
18372,3,Subregional drainage basin divide,Subregional,Subregional,4.16885995,22011.5567937489
18373,4,Local drainage basin divide,Local,Local,0.40869998,2157.93488124629
18374,4,Local drainage basin divide,Local,Local,1.32667005,7004.79806294147
18375,4,Local drainage basin divide,Local,Local,0.0920832,486.198955202386
18376,4,Local drainage basin divide,Local,Local,0.260937,1377.74560304809
18377,4,Local drainage basin divide,Local,Local,0.138187,729.628476186575
18378,4,Local drainage basin divide,Local,Local,0.90019798,4753.04337484034
18379,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.499565,2637.7003977936
18380,4,Local drainage basin divide,Local,Local,0.18268799,964.590455279666
18381,4,Local drainage basin divide,Local,Local,0.70728898,3734.48546585639
18382,2,Regional drainage basin divide,Regional,Regional,0.189829,1002.29930058763
18383,4,Local drainage basin divide,Local,Local,0.41394901,2185.65168653144
18384,4,Local drainage basin divide,Local,Local,0.646187,3411.86578634927
18385,4,Local drainage basin divide,Local,Local,1.09797,5797.25535423073
18386,4,Local drainage basin divide,Local,Local,0.53037202,2800.36236892673
18387,4,Local drainage basin divide,Local,Local,0.32061299,1692.83875406985
18388,4,Local drainage basin divide,Local,Local,0.124713,658.486096635577
18389,5,Stream reach basin divide,Stream Reach,Reach,0.721776,3810.9780031603
18390,2,Regional drainage basin divide,Regional,Regional,0.43011,2270.97870240046
18391,8,Shoreline,Shoreline,Shoreline,1.35739994,7167.05881651859
18392,4,Local drainage basin divide,Local,Local,0.68626099,3623.45848481127
18393,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.76483297,4038.31846675806
18394,4,Local drainage basin divide,Local,Local,0.79566901,4201.13007054374
18395,3,Subregional drainage basin divide,Subregional,Subregional,0.31755399,1676.68247016958
18396,8,Shoreline,Shoreline,Shoreline,1.10367,5827.37493974265
18397,4,Local drainage basin divide,Local,Local,0.45731198,2414.60811943165
18398,3,Subregional drainage basin divide,Subregional,Subregional,0.54717397,2889.07816752252
18399,0,Not a drainage basin divide,No Show,No Show,0.0126184,66.6253120925492
18400,2,Regional drainage basin divide,Regional,Regional,0.236238,1247.33830994515
