AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7264,POLICE OFFICER                     ,M,W ,30 - 39,38,3RD DIVISION                                           ,1ST PLATOON                                            ,8.0,1541
7273,POLICE OFFICER                     ,M,A ,40 - 49,45,4TH DIVISION                                           ,2ND PLATOON                                            ,8.0,1542
7248,POLICE OFFICER                     ,M,W ,40 - 49,40,5TH DIVISION                                           ,DETECTIVES                                             ,8.0,1543
7271,POLICE SERGEANT                    ,M,W ,30 - 39,32,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,8.0,1544
7272,POLICE OFFICER                     ,M,B ,30 - 39,37,7TH DIVISION                                           ,1ST PLATOON                                            ,8.0,1545
7274,POLICE OFFICER                     ,M,W ,21 - 29,29,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,7.0,1546
7275,POLICE OFFICER                     ,M,W ,40 - 49,46,4TH DIVISION                                           ,DETECTIVES                                             ,7.0,1547
7276,POLICE OFFICER                     ,M,W ,30 - 39,38,6TH DIVISION                                           ,2ND PLATOON                                            ,7.0,1548
7278,POLICE OFFICER                     ,M,W ,30 - 39,36,7TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1549
7279,POLICE OFFICER                     ,M,H ,40 - 49,42,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,7.0,1550
7280,POLICE OFFICER                     ,M,B ,40 - 49,43,5TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1551
7282,POLICE OFFICER                     ,F,W ,30 - 39,32,2ND DIVISION                                           ,DETECTIVES                                             ,7.0,1552
7283,POLICE OFFICER                     ,M,W ,30 - 39,31,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,7.0,1553
7284,POLICE OFFICER                     ,M,W ,30 - 39,30,5TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1554
7285,POLICE OFFICER                     ,M,W ,30 - 39,32,ADMINISTRATIVE SERVICES DIVISION                       ,STAFF                                                  ,7.0,1555
7300,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,3RD PLATOON                                            ,7.0,1556
7288,POLICE OFFICER                     ,M,W ,30 - 39,34,1ST DIVISION                                           ,DETECTIVES                                             ,7.0,1557
7289,POLICE OFFICER                     ,F,W ,30 - 39,32,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,7.0,1558
7290,POLICE OFFICER                     ,M,W ,30 - 39,31,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,7.0,1559
7291,POLICE OFFICER                     ,M,W ,40 - 49,40,1ST DIVISION                                           ,BIKE PLATOON                                           ,7.0,1560
7292,POLICE OFFICER                     ,M,W ,30 - 39,32,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,7.0,1561
7294,POLICE OFFICER                     ,M,W ,30 - 39,30,6TH DIVISION                                           ,DETECTIVES                                             ,7.0,1562
7295,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,2ND PLATOON                                            ,7.0,1563
7296,POLICE OFFICER                     ,F,W ,30 - 39,37,4TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1564
7297,POLICE OFFICER                     ,M,B ,30 - 39,34,7TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1565
7298,POLICE OFFICER                     ,F,W ,30 - 39,35,4TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1566
7286,POLICE OFFICER                     ,F,W ,30 - 39,32,CANINE UNIT                                            ,2ND PLATOON                                            ,6.0,1567
7281,POLICE SERGEANT                    ,F,W ,30 - 39,34,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,7.0,1568
7293,POLICE OFFICER                     ,M,W ,30 - 39,31,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,7.0,1569
7301,POLICE OFFICER                     ,M,H ,30 - 39,33,4TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1570
7303,POLICE OFFICER                     ,F,W ,21 - 29,29,6TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1571
7305,POLICE OFFICER                     ,M,W ,21 - 29,29,1ST DIVISION                                           ,DETECTIVES                                             ,7.0,1572
7306,POLICE OFFICER                     ,M,W ,30 - 39,30,5TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1573
7307,POLICE OFFICER                     ,M,W ,30 - 39,32,6TH DIVISION                                           ,1ST PLATOON                                            ,7.0,1574
7304,POLICE OFFICER                     ,M,B ,30 - 39,36,5TH DIVISION                                           ,2ND PLATOON                                            ,7.0,1575
7308,POLICE OFFICER                     ,M,W ,30 - 39,31,8TH DIVISION                                           ,2ND PLATOON                                            ,7.0,1576
