OBJECTID,SMPOLY_COD,SURFM_POLY,DESCRIP,IMS_LEGEND,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
4427,SW,Swamp,Swamp,Natural Postglacial,16.03560066,0.0250557,4159.03310159666,698512.310007023
4428,TT,Thick Till,Thick Till,Thick Till,119.50299835,0.18672299,16529.5769433215,5205536.25320686
4429,SG,Sand+Gravel,Sand and Gravel,Coarse,195.56900024,0.305577,29363.1919643194,8518996.92095066
4430,S/F,Sand/Fines,Sand overlying Fines,Coarse over Fine,11.10200023,0.01734689,4518.55096398989,483603.55599378
4431,SG,Sand+Gravel,Sand and Gravel,Coarse,255.41099548,0.39908,26137.5060858288,11125715.5413278
4432,SG,Sand+Gravel,Sand and Gravel,Coarse,4.25862979,0.0066541,1915.33371399823,185506.113869209
4433,TT,Thick Till,Thick Till,Thick Till,320.72198486,0.50112897,23928.9607846686,13970671.074784
4434,S,Sand,Sand,Coarse,35.07360076,0.05480249,7487.47647532726,1527805.53141402
4435,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,81.4394989,0.127249,19520.8911411186,3547503.41422971
4436,T,Till,Till,Till,1.54340994,0.00241156,965.153180396077,67230.712580664
4437,TT,Thick Till,Thick Till,Thick Till,234.94900512,0.36710798,19740.445120186,10234364.2829511
4438,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,0.95869398,0.00149795,1067.39601162441,41760.765882439
4439,SG,Sand+Gravel,Sand and Gravel,Coarse,122.36599731,0.19119699,13917.0762186247,5330258.16598384
4440,W,Water,Water,Water,16.07839965,0.02512249,3910.203756759,700375.035566708
4441,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,1.97816002,0.00309088,1570.85400450625,86168.6758920283
4442,W,Water,Water,Water,24.85339927,0.03883339,6494.38466782776,1082613.7643498
4443,TA,Talus,Talus,Natural Postglacial,189.57200622,0.29620701,61255.0423064197,8257774.29878081
4444,W,Water,Water,Water,29.55209922,0.0461752,6726.00675370406,1287291.28935631
4445,A/S/F,Alluv/Sand/Fines,Alluvium overlying Sand overlying Fines,Natural Postglacial,2.83424997,0.00442851,2046.43357483131,123460.283563771
4446,SG,Sand+Gravel,Sand and Gravel,Coarse,115.76000213,0.180875,17462.2351784447,5042518.22931547
4447,W,Water,Water,Water,5.21215009,0.00814399,1963.935034957,227041.332175936
4448,SG/S,Sand+Gravel/Sand,Sand and Gravel overlying Sand,Stacked Coarse,121.70300292,0.19016,21274.0756886795,5301370.01273594
4449,TT,Thick Till,Thick Till,Thick Till,262.3829956,0.40997299,16495.4426256871,11429386.839476
4450,SG/S/F,Sand+Gravel/Sand/Fines,Sand and Gravel overlying Sand overlying Fines,Coarse over Fine,16.03479957,0.0250543,4291.03883807002,698474.403313413
4451,SG,Sand+Gravel,Sand and Gravel,Coarse,26.10510063,0.0407891,4658.92192343675,1137135.86342144
4452,SG,Sand+Gravel,Sand and Gravel,Coarse,13.62489986,0.021289,3292.85698433561,593502.87685615
4453,A/SG,Alluv/Sand+Gravel,Alluvium overlying Sand and Gravel,Natural Postglacial,19.28210067,0.03012819,6515.36894359979,839926.794719481
4454,S,Sand,Sand,Coarse,22.98870086,0.0359199,6590.92056103594,1001387.67777032
